Agent ID,Episode Number,Episode Score,Actor Learning Rate,Critic Learning Rate,Discount Factor,Entropy Coefficient,Actor Loss,Critic loss
3,0,35.0,0.001,0.001,0.99,0.0006,387.8807373046875,33.007442474365234
1,0,11.0,0.001,0.001,0.99,0.0007,42.615966796875,4.360680103302002
2,0,21.0,0.001,0.001,0.99,0.0003,149.85507202148438,13.520827293395996
3,1,10.0,0.001,0.001,0.99,0.0006,36.621883392333984,3.325169324874878
3,2,10.0,0.001,0.001,0.99,0.0006,34.74496841430664,3.2489545345306396
1,1,21.0,0.001,0.001,0.99,0.0007,154.73765563964844,13.443072319030762
3,3,13.0,0.001,0.001,0.99,0.0006,56.852813720703125,5.315873622894287
2,1,31.0,0.001,0.001,0.99,0.0003,307.3406677246094,26.57703971862793
1,2,16.0,0.001,0.001,0.99,0.0007,88.33576202392578,8.232253074645996
3,4,18.0,0.001,0.001,0.99,0.0006,105.13016510009766,9.513006210327148
1,3,35.0,0.001,0.001,0.99,0.0007,383.2567138671875,32.77999496459961
2,2,36.0,0.001,0.001,0.99,0.0003,399.758056640625,34.30405807495117
3,5,18.0,0.001,0.001,0.99,0.0006,110.06763458251953,10.00917911529541
1,4,29.0,0.001,0.001,0.99,0.0007,262.22406005859375,23.372255325317383
2,3,31.0,0.001,0.001,0.99,0.0003,296.4829406738281,26.28251075744629
1,5,16.0,0.001,0.001,0.99,0.0007,84.90050506591797,7.862217903137207
3,6,28.0,0.001,0.001,0.99,0.0006,248.76492309570312,21.93991470336914
1,6,13.0,0.001,0.001,0.99,0.0007,54.8248405456543,5.232892036437988
3,7,32.0,0.001,0.001,0.99,0.0006,315.708251953125,26.93129539489746
3,8,15.0,0.001,0.001,0.99,0.0006,71.3159408569336,6.682448863983154
2,4,42.0,0.001,0.001,0.99,0.0003,526.156494140625,43.8093147277832
1,7,40.0,0.001,0.001,0.99,0.0007,475.7138977050781,40.267093658447266
2,5,16.0,0.001,0.001,0.99,0.0003,84.07002258300781,7.73394775390625
3,9,30.0,0.001,0.001,0.99,0.0006,276.3360290527344,24.177682876586914
3,10,11.0,0.001,0.001,0.99,0.0006,41.61112976074219,3.5950582027435303
1,8,45.0,0.001,0.001,0.99,0.0007,582.0744018554688,48.63557052612305
3,11,21.0,0.001,0.001,0.99,0.0006,137.4875946044922,12.466080665588379
2,6,40.0,0.001,0.001,0.99,0.0003,468.0992431640625,40.3333854675293
1,9,22.0,0.001,0.001,0.99,0.0007,151.11749267578125,13.772455215454102
3,12,18.0,0.001,0.001,0.99,0.0006,99.94096374511719,9.116833686828613
2,7,30.0,0.001,0.001,0.99,0.0003,266.622802734375,24.142240524291992
1,10,30.0,0.001,0.001,0.99,0.0007,268.779296875,23.92414093017578
3,13,18.0,0.001,0.001,0.99,0.0006,98.77949523925781,9.008466720581055
3,14,11.0,0.001,0.001,0.99,0.0006,38.06169509887695,3.189213752746582
2,8,52.0,0.001,0.001,0.99,0.0003,770.5259399414062,61.314247131347656
1,11,46.0,0.001,0.001,0.99,0.0007,602.9193115234375,50.30624008178711
3,15,34.0,0.001,0.001,0.99,0.0006,336.4765319824219,28.831867218017578
1,12,16.0,0.001,0.001,0.99,0.0007,80.19735717773438,7.333217620849609
2,9,27.0,0.001,0.001,0.99,0.0003,217.66986083984375,19.607275009155273
3,16,17.0,0.001,0.001,0.99,0.0006,86.82038879394531,7.687402248382568
1,13,43.0,0.001,0.001,0.99,0.0007,526.469970703125,44.563804626464844
3,17,33.0,0.001,0.001,0.99,0.0006,320.00177001953125,27.000534057617188
1,14,59.0,0.001,0.001,0.99,0.0007,950.5709838867188,75.272705078125
2,10,63.0,0.001,0.001,0.99,0.0003,1086.1700439453125,81.83390808105469
1,15,12.0,0.001,0.001,0.99,0.0007,41.864654541015625,3.7940163612365723
3,18,25.0,0.001,0.001,0.99,0.0006,183.39585876464844,16.042484283447266
2,11,18.0,0.001,0.001,0.99,0.0003,96.83084869384766,8.612661361694336
1,16,25.0,0.001,0.001,0.99,0.0007,183.54576110839844,16.48575782775879
3,19,23.0,0.001,0.001,0.99,0.0006,153.1753387451172,13.3018798828125
2,12,24.0,0.001,0.001,0.99,0.0003,170.40151977539062,15.042886734008789
1,17,16.0,0.001,0.001,0.99,0.0007,73.4664306640625,6.840938568115234
3,20,22.0,0.001,0.001,0.99,0.0006,138.8503875732422,12.459868431091309
2,13,19.0,0.001,0.001,0.99,0.0003,108.40056610107422,9.53383731842041
3,21,15.0,0.001,0.001,0.99,0.0006,62.1418342590332,5.232269763946533
1,18,45.0,0.001,0.001,0.99,0.0007,553.66357421875,47.346519470214844
1,19,15.0,0.001,0.001,0.99,0.0007,60.84418487548828,5.819369316101074
3,22,17.0,0.001,0.001,0.99,0.0006,76.318359375,6.52459192276001
2,14,56.0,0.001,0.001,0.99,0.0003,827.93115234375,66.76690673828125
1,20,15.0,0.001,0.001,0.99,0.0007,61.6467170715332,5.826143741607666
3,23,16.0,0.001,0.001,0.99,0.0006,70.84403991699219,6.231409072875977
2,15,26.0,0.001,0.001,0.99,0.0003,198.2550048828125,16.38423728942871
3,24,27.0,0.001,0.001,0.99,0.0006,204.27554321289062,17.07911491394043
2,16,11.0,0.001,0.001,0.99,0.0003,33.6216926574707,2.6302881240844727
1,21,35.0,0.001,0.001,0.99,0.0007,347.7752380371094,30.134023666381836
3,25,11.0,0.001,0.001,0.99,0.0006,25.71377182006836,2.4434492588043213
3,26,45.0,0.001,0.001,0.99,0.0006,548.0850830078125,43.69652557373047
2,17,68.0,0.001,0.001,0.99,0.0003,1186.3096923828125,91.16490936279297
3,27,38.0,0.001,0.001,0.99,0.0006,395.0702209472656,32.943206787109375
1,22,62.0,0.001,0.001,0.99,0.0007,990.0020141601562,79.42384338378906
3,28,12.0,0.001,0.001,0.99,0.0006,30.59421157836914,2.879687547683716
1,23,28.0,0.001,0.001,0.99,0.0007,210.78138732910156,19.31300926208496
3,29,17.0,0.001,0.001,0.99,0.0006,69.78695678710938,5.826101779937744
2,18,46.0,0.001,0.001,0.99,0.0003,573.6090087890625,46.57615280151367
3,30,13.0,0.001,0.001,0.99,0.0006,25.650854110717773,3.5561606884002686
3,31,18.0,0.001,0.001,0.99,0.0006,81.00208282470703,7.226370334625244
1,24,43.0,0.001,0.001,0.99,0.0007,488.0476379394531,42.32792663574219
3,32,29.0,0.001,0.001,0.99,0.0006,220.46084594726562,18.439186096191406
2,19,53.0,0.001,0.001,0.99,0.0003,744.4549560546875,59.49150466918945
3,33,34.0,0.001,0.001,0.99,0.0006,302.5065612792969,25.073688507080078
2,20,17.0,0.001,0.001,0.99,0.0003,76.24434661865234,6.845256328582764
1,25,56.0,0.001,0.001,0.99,0.0007,806.9492797851562,66.31487274169922
1,26,16.0,0.001,0.001,0.99,0.0007,62.183841705322266,5.454691410064697
3,34,21.0,0.001,0.001,0.99,0.0006,109.8655776977539,9.28196907043457
2,21,30.0,0.001,0.001,0.99,0.0003,243.4315185546875,20.79192543029785
1,27,10.0,0.001,0.001,0.99,0.0007,16.632579803466797,2.140291690826416
3,35,17.0,0.001,0.001,0.99,0.0006,61.50619888305664,5.838690757751465
3,36,22.0,0.001,0.001,0.99,0.0006,108.93063354492188,9.867412567138672
1,28,31.0,0.001,0.001,0.99,0.0007,249.7299346923828,22.724672317504883
2,22,45.0,0.001,0.001,0.99,0.0003,538.416259765625,44.50569534301758
3,37,24.0,0.001,0.001,0.99,0.0006,130.1464385986328,11.689925193786621
1,29,21.0,0.001,0.001,0.99,0.0007,101.62625122070312,10.40269660949707
2,23,79.0,0.001,0.001,0.99,0.0003,1526.514892578125,110.22602844238281
1,30,46.0,0.001,0.001,0.99,0.0007,529.0046997070312,45.9249267578125
3,38,61.0,0.001,0.001,0.99,0.0006,919.7677001953125,69.0118637084961
2,24,22.0,0.001,0.001,0.99,0.0003,129.01715087890625,11.02826976776123
2,25,14.0,0.001,0.001,0.99,0.0003,34.059757232666016,4.10872220993042
3,39,15.0,0.001,0.001,0.99,0.0006,41.86612319946289,3.3582417964935303
3,40,14.0,0.001,0.001,0.99,0.0006,30.449634552001953,3.006939649581909
1,31,49.0,0.001,0.001,0.99,0.0007,644.515380859375,51.32137680053711
3,41,14.0,0.001,0.001,0.99,0.0006,29.01513671875,3.0406575202941895
3,42,21.0,0.001,0.001,0.99,0.0006,100.41405487060547,7.6824798583984375
3,43,14.0,0.001,0.001,0.99,0.0006,28.29413604736328,2.7965550422668457
2,26,81.0,0.001,0.001,0.99,0.0003,1535.759033203125,115.38311004638672
3,44,18.0,0.001,0.001,0.99,0.0006,60.68917465209961,5.96926212310791
3,45,17.0,0.001,0.001,0.99,0.0006,54.09394454956055,4.056356430053711
2,27,27.0,0.001,0.001,0.99,0.0003,192.9008331298828,15.524737358093262
1,32,98.0,0.001,0.001,0.99,0.0007,2160.107177734375,151.5209197998047
3,46,21.0,0.001,0.001,0.99,0.0006,95.38182067871094,7.770975589752197
3,47,25.0,0.001,0.001,0.99,0.0006,137.77207946777344,10.410680770874023
3,48,14.0,0.001,0.001,0.99,0.0006,24.649139404296875,2.3127529621124268
1,33,52.0,0.001,0.001,0.99,0.0007,693.8262939453125,54.951698303222656
1,34,19.0,0.001,0.001,0.99,0.0007,70.06385040283203,7.61749267578125
1,35,22.0,0.001,0.001,0.99,0.0007,115.31688690185547,10.06643295288086
2,28,110.0,0.001,0.001,0.99,0.0003,2642.239990234375,174.23045349121094
3,49,44.0,0.001,0.001,0.99,0.0006,456.9548034667969,35.6668815612793
3,50,14.0,0.001,0.001,0.99,0.0006,18.63880157470703,3.140899419784546
1,36,20.0,0.001,0.001,0.99,0.0007,91.15504455566406,8.418701171875
2,29,37.0,0.001,0.001,0.99,0.0003,336.04058837890625,28.652368545532227
1,37,17.0,0.001,0.001,0.99,0.0007,60.78293228149414,5.623477458953857
3,51,24.0,0.001,0.001,0.99,0.0006,113.90198516845703,9.343732833862305
3,52,11.0,0.001,0.001,0.99,0.0006,2.163426399230957,1.774453043937683
1,38,30.0,0.001,0.001,0.99,0.0007,238.90904235839844,19.704938888549805
2,30,63.0,0.001,0.001,0.99,0.0003,950.4812622070312,73.43646240234375
3,53,46.0,0.001,0.001,0.99,0.0006,485.8716735839844,37.58877182006836
2,31,15.0,0.001,0.001,0.99,0.0003,30.471940994262695,4.8035383224487305
3,54,24.0,0.001,0.001,0.99,0.0006,101.9665298461914,9.712230682373047
2,32,18.0,0.001,0.001,0.99,0.0003,61.44301986694336,5.662071228027344
2,33,15.0,0.001,0.001,0.99,0.0003,43.7404670715332,3.645131826400757
1,39,103.0,0.001,0.001,0.99,0.0007,2296.576171875,157.09426879882812
3,55,43.0,0.001,0.001,0.99,0.0006,401.1080627441406,31.8082332611084
2,34,42.0,0.001,0.001,0.99,0.0003,433.611572265625,34.82188034057617
3,56,62.0,0.001,0.001,0.99,0.0006,845.6196899414062,62.238685607910156
1,40,50.0,0.001,0.001,0.99,0.0007,581.7250366210938,49.53715515136719
2,35,47.0,0.001,0.001,0.99,0.0003,535.4109497070312,42.36186981201172
3,57,49.0,0.001,0.001,0.99,0.0006,510.8935546875,38.57502746582031
1,41,48.0,0.001,0.001,0.99,0.0007,538.4325561523438,44.222694396972656
3,58,17.0,0.001,0.001,0.99,0.0006,31.994789123535156,3.0963828563690186
1,42,25.0,0.001,0.001,0.99,0.0007,124.13577270507812,12.218001365661621
2,36,51.0,0.001,0.001,0.99,0.0003,600.4197998046875,48.77378463745117
3,59,22.0,0.001,0.001,0.99,0.0006,61.33066940307617,6.079111099243164
3,60,10.0,0.001,0.001,0.99,0.0006,-18.74093246459961,2.4834299087524414
3,61,16.0,0.001,0.001,0.99,0.0006,22.115249633789062,3.141570568084717
1,43,50.0,0.001,0.001,0.99,0.0007,579.853515625,48.1041259765625
2,37,38.0,0.001,0.001,0.99,0.0003,359.5635070800781,28.370330810546875
3,62,51.0,0.001,0.001,0.99,0.0006,547.8219604492188,39.897300720214844
1,44,31.0,0.001,0.001,0.99,0.0007,209.0694122314453,18.568973541259766
2,38,65.0,0.001,0.001,0.99,0.0003,970.6539916992188,72.2043685913086
