Agent ID,Episode Number,Episode Score,Actor Learning Rate,Critic Learning Rate,Discount Factor,Entropy Coefficient,Actor Loss,Critic loss
2,0,27.0,0.001,0.001,0.99,0.0004,238.81423950195312,21.12642478942871
1,0,31.0,0.001,0.001,0.99,0.0008,310.4620056152344,26.914907455444336
3,0,42.0,0.001,0.001,0.99,0.0006,544.8501586914062,44.96244430541992
2,1,19.0,0.001,0.001,0.99,0.0004,122.78988647460938,11.3558988571167
3,1,33.0,0.001,0.001,0.99,0.0006,337.9609375,29.786483764648438
1,1,44.0,0.001,0.001,0.99,0.0008,596.3201904296875,48.81735610961914
2,2,23.0,0.001,0.001,0.99,0.0004,175.63754272460938,15.768034934997559
3,2,22.0,0.001,0.001,0.99,0.0006,159.92686462402344,14.546957969665527
2,3,16.0,0.001,0.001,0.99,0.0004,88.66195678710938,8.241806983947754
1,2,35.0,0.001,0.001,0.99,0.0008,386.1965637207031,33.09885787963867
3,3,15.0,0.001,0.001,0.99,0.0006,77.30973052978516,7.223265171051025
3,4,10.0,0.001,0.001,0.99,0.0006,35.0719108581543,3.361462116241455
2,4,22.0,0.001,0.001,0.99,0.0004,159.88919067382812,14.544824600219727
3,5,11.0,0.001,0.001,0.99,0.0006,42.71505355834961,4.011044502258301
1,3,45.0,0.001,0.001,0.99,0.0008,608.468505859375,50.38188552856445
2,5,18.0,0.001,0.001,0.99,0.0004,110.08222198486328,10.086132049560547
3,6,23.0,0.001,0.001,0.99,0.0006,168.00408935546875,15.62894344329834
1,4,19.0,0.001,0.001,0.99,0.0008,120.82417297363281,11.00948715209961
1,5,24.0,0.001,0.001,0.99,0.0008,187.70999145507812,16.88589096069336
2,6,70.0,0.001,0.001,0.99,0.0004,1345.6683349609375,101.55733489990234
1,6,17.0,0.001,0.001,0.99,0.0008,100.40985870361328,9.275422096252441
3,7,40.0,0.001,0.001,0.99,0.0006,479.1857604980469,40.982730865478516
2,7,31.0,0.001,0.001,0.99,0.0004,304.28216552734375,26.536935806274414
3,8,13.0,0.001,0.001,0.99,0.0006,62.00699996948242,5.3280768394470215
1,7,18.0,0.001,0.001,0.99,0.0008,111.12529754638672,10.236960411071777
1,8,18.0,0.001,0.001,0.99,0.0008,106.90731811523438,9.890493392944336
3,9,19.0,0.001,0.001,0.99,0.0006,120.8133316040039,10.883963584899902
2,8,26.0,0.001,0.001,0.99,0.0004,215.60635375976562,19.349634170532227
1,9,17.0,0.001,0.001,0.99,0.0008,97.65242004394531,8.724505424499512
2,9,18.0,0.001,0.001,0.99,0.0004,108.84416961669922,9.956932067871094
3,10,21.0,0.001,0.001,0.99,0.0006,140.72500610351562,13.052172660827637
1,10,22.0,0.001,0.001,0.99,0.0008,159.2191162109375,14.355208396911621
3,11,13.0,0.001,0.001,0.99,0.0006,55.69722366333008,5.349999904632568
1,11,10.0,0.001,0.001,0.99,0.0008,34.80521774291992,3.2109615802764893
2,10,25.0,0.001,0.001,0.99,0.0004,200.7368927001953,18.113439559936523
1,12,23.0,0.001,0.001,0.99,0.0008,171.4237060546875,15.495516777038574
2,11,14.0,0.001,0.001,0.99,0.0004,69.7483139038086,6.151895046234131
3,12,39.0,0.001,0.001,0.99,0.0006,453.15185546875,38.93269348144531
1,13,20.0,0.001,0.001,0.99,0.0008,133.53265380859375,12.178418159484863
2,12,28.0,0.001,0.001,0.99,0.0004,247.88648986816406,21.928747177124023
3,13,13.0,0.001,0.001,0.99,0.0006,65.20288848876953,5.164201259613037
1,14,27.0,0.001,0.001,0.99,0.0008,236.63218688964844,20.55821418762207
3,14,25.0,0.001,0.001,0.99,0.0006,197.64907836914062,17.608154296875
2,13,36.0,0.001,0.001,0.99,0.0004,395.9441223144531,33.99538040161133
1,15,12.0,0.001,0.001,0.99,0.0008,48.18144989013672,4.472011089324951
