Coordinator ID,Episode Number,Episode Reward,Agent ID,Agent Reward, Actor Learning Rate, Critic Learning Rate, Entropy
0,1,-196.41790728728648,adversary_0,-196.41790728728648,0.0003,0.0004,0.0001
0,1,-196.41790728728648,agent_0,124.24311676380343,0.0003,0.0004,0.0001
0,1,-196.41790728728648,agent_1,124.24311676380343,0.0003,0.0004,0.0001
1,1,-205.1860825973721,adversary_0,-205.1860825973721,0.0008,0.0002,0.0001
1,1,-205.1860825973721,agent_0,147.72152712386352,0.0008,0.0002,0.0001
1,1,-205.1860825973721,agent_1,147.72152712386352,0.0008,0.0002,0.0001
2,1,-132.91573018187037,adversary_0,-132.91573018187037,0.0004,0.0003,0.0001
2,1,-132.91573018187037,agent_0,34.70523923149033,0.0004,0.0003,0.0001
2,1,-132.91573018187037,agent_1,34.70523923149033,0.0004,0.0003,0.0001
3,1,-92.74439058837865,adversary_0,-92.74439058837865,0.0008,0.0002,0.0001
3,1,-92.74439058837865,agent_0,-72.80431119758585,0.0008,0.0002,0.0001
3,1,-92.74439058837865,agent_1,-72.80431119758585,0.0008,0.0002,0.0001
4,1,-122.76057266840932,adversary_0,-122.76057266840932,0.0004,0.0001,0.0001
4,1,-122.76057266840932,agent_0,10.21290155942505,0.0004,0.0001,0.0001
4,1,-122.76057266840932,agent_1,10.21290155942505,0.0004,0.0001,0.0001
5,1,-98.35356891181772,adversary_0,-98.35356891181772,0.0005,0.0007,0.0001
5,1,-98.35356891181772,agent_0,1.4449127479143722,0.0005,0.0007,0.0001
5,1,-98.35356891181772,agent_1,1.4449127479143722,0.0005,0.0007,0.0001
6,1,-58.934992616798496,adversary_0,-58.934992616798496,0.0006,0.0002,0.0001
6,1,-58.934992616798496,agent_0,-47.48890913429832,0.0006,0.0002,0.0001
6,1,-58.934992616798496,agent_1,-47.48890913429832,0.0006,0.0002,0.0001
7,1,-87.15307921704482,adversary_0,-87.15307921704482,0.0007,0.0009,0.0001
7,1,-87.15307921704482,agent_0,1.6225030991739366,0.0007,0.0009,0.0001
7,1,-87.15307921704482,agent_1,1.6225030991739366,0.0007,0.0009,0.0001
8,1,-170.005055088159,adversary_0,-170.005055088159,0.0001,0.0005,0.0001
8,1,-170.005055088159,agent_0,61.866250855547555,0.0001,0.0005,0.0001
8,1,-170.005055088159,agent_1,61.866250855547555,0.0001,0.0005,0.0001
9,1,-87.695467395238,adversary_0,-87.695467395238,0.0002,0.0007,0.0001
9,1,-87.695467395238,agent_0,-26.159269442071768,0.0002,0.0007,0.0001
9,1,-87.695467395238,agent_1,-26.159269442071768,0.0002,0.0007,0.0001
10,1,-200.51114657802856,adversary_0,-200.51114657802856,0.0002,0.0002,0.0001
10,1,-200.51114657802856,agent_0,140.48188028405824,0.0002,0.0002,0.0001
10,1,-200.51114657802856,agent_1,140.48188028405824,0.0002,0.0002,0.0001
11,1,-143.58135473592282,adversary_0,-143.58135473592282,0.0007,0.0004,0.0001
11,1,-143.58135473592282,agent_0,-67.09980151832988,0.0007,0.0004,0.0001
11,1,-143.58135473592282,agent_1,-67.09980151832988,0.0007,0.0004,0.0001
12,1,-46.348194228035545,adversary_0,-46.348194228035545,0.0004,0.0004,0.0001
12,1,-46.348194228035545,agent_0,-173.8120455496796,0.0004,0.0004,0.0001
12,1,-46.348194228035545,agent_1,-173.8120455496796,0.0004,0.0004,0.0001
13,1,-138.80228048403973,adversary_0,-138.80228048403973,0.0,0.0002,0.0001
13,1,-138.80228048403973,agent_0,16.681604364933982,0.0,0.0002,0.0001
13,1,-138.80228048403973,agent_1,16.681604364933982,0.0,0.0002,0.0001
14,1,-298.24858837084525,adversary_0,-298.24858837084525,0.0005,0.0009,0.0001
14,1,-298.24858837084525,agent_0,251.70252980781316,0.0005,0.0009,0.0001
14,1,-298.24858837084525,agent_1,251.70252980781316,0.0005,0.0009,0.0001
15,1,-246.24057133644573,adversary_0,-246.24057133644573,0.0005,0.0002,0.0001
15,1,-246.24057133644573,agent_0,122.58211825834032,0.0005,0.0002,0.0001
15,1,-246.24057133644573,agent_1,122.58211825834032,0.0005,0.0002,0.0001
0,2,-215.12525793969408,adversary_0,-215.12525793969408,0.0003,0.0004,0.0001
0,2,-215.12525793969408,agent_0,142.69647577812174,0.0003,0.0004,0.0001
0,2,-215.12525793969408,agent_1,142.69647577812174,0.0003,0.0004,0.0001
1,2,-300.5560439132089,adversary_0,-300.5560439132089,0.0008,0.0002,0.0001
1,2,-300.5560439132089,agent_0,201.59126338292185,0.0008,0.0002,0.0001
1,2,-300.5560439132089,agent_1,201.59126338292185,0.0008,0.0002,0.0001
2,2,-169.82271935889653,adversary_0,-169.82271935889653,0.0004,0.0003,0.0001
2,2,-169.82271935889653,agent_0,-144.8134058895316,0.0004,0.0003,0.0001
2,2,-169.82271935889653,agent_1,-144.8134058895316,0.0004,0.0003,0.0001
3,2,-807.5608076874546,adversary_0,-807.5608076874546,0.0008,0.0002,0.0001
3,2,-807.5608076874546,agent_0,693.0423723160718,0.0008,0.0002,0.0001
3,2,-807.5608076874546,agent_1,693.0423723160718,0.0008,0.0002,0.0001
4,2,-273.63522113777304,adversary_0,-273.63522113777304,0.0004,0.0001,0.0001
4,2,-273.63522113777304,agent_0,-35.28581062703727,0.0004,0.0001,0.0001
4,2,-273.63522113777304,agent_1,-35.28581062703727,0.0004,0.0001,0.0001
5,2,-432.8637156456009,adversary_0,-432.8637156456009,0.0005,0.0007,0.0001
5,2,-432.8637156456009,agent_0,358.07916694877355,0.0005,0.0007,0.0001
5,2,-432.8637156456009,agent_1,358.07916694877355,0.0005,0.0007,0.0001
6,2,-260.31063645228085,adversary_0,-260.31063645228085,0.0006,0.0002,0.0001
6,2,-260.31063645228085,agent_0,-81.98600215862696,0.0006,0.0002,0.0001
6,2,-260.31063645228085,agent_1,-81.98600215862696,0.0006,0.0002,0.0001
7,2,-436.7266876408294,adversary_0,-436.7266876408294,0.0007,0.0009,0.0001
7,2,-436.7266876408294,agent_0,267.1168806123834,0.0007,0.0009,0.0001
7,2,-436.7266876408294,agent_1,267.1168806123834,0.0007,0.0009,0.0001
8,2,-215.99789827643446,adversary_0,-215.99789827643446,0.0001,0.0005,0.0001
8,2,-215.99789827643446,agent_0,65.54785223816747,0.0001,0.0005,0.0001
8,2,-215.99789827643446,agent_1,65.54785223816747,0.0001,0.0005,0.0001
9,2,-242.8375422279477,adversary_0,-242.8375422279477,0.0002,0.0007,0.0001
9,2,-242.8375422279477,agent_0,142.27422515944616,0.0002,0.0007,0.0001
9,2,-242.8375422279477,agent_1,142.27422515944616,0.0002,0.0007,0.0001
10,2,-67.32156887035305,adversary_0,-67.32156887035305,0.0002,0.0002,0.0001
10,2,-67.32156887035305,agent_0,-40.82162395256543,0.0002,0.0002,0.0001
10,2,-67.32156887035305,agent_1,-40.82162395256543,0.0002,0.0002,0.0001
11,2,-617.3376805576524,adversary_0,-617.3376805576524,0.0007,0.0004,0.0001
11,2,-617.3376805576524,agent_0,531.8762111325019,0.0007,0.0004,0.0001
11,2,-617.3376805576524,agent_1,531.8762111325019,0.0007,0.0004,0.0001
12,2,-126.74753615788026,adversary_0,-126.74753615788026,0.0004,0.0004,0.0001
12,2,-126.74753615788026,agent_0,43.180035264957205,0.0004,0.0004,0.0001
12,2,-126.74753615788026,agent_1,43.180035264957205,0.0004,0.0004,0.0001
13,2,-84.49327103153928,adversary_0,-84.49327103153928,0.0,0.0002,0.0001
13,2,-84.49327103153928,agent_0,7.089706643360269,0.0,0.0002,0.0001
13,2,-84.49327103153928,agent_1,7.089706643360269,0.0,0.0002,0.0001
14,2,-211.00654593341028,adversary_0,-211.00654593341028,0.0005,0.0009,0.0001
14,2,-211.00654593341028,agent_0,32.47441842133851,0.0005,0.0009,0.0001
14,2,-211.00654593341028,agent_1,32.47441842133851,0.0005,0.0009,0.0001
15,2,-461.51853034357254,adversary_0,-461.51853034357254,0.0005,0.0002,0.0001
15,2,-461.51853034357254,agent_0,351.9837439710418,0.0005,0.0002,0.0001
15,2,-461.51853034357254,agent_1,351.9837439710418,0.0005,0.0002,0.0001
0,3,-484.8715255801736,adversary_0,-484.8715255801736,0.0003,0.0004,0.0001
0,3,-484.8715255801736,agent_0,416.99194000906266,0.0003,0.0004,0.0001
0,3,-484.8715255801736,agent_1,416.99194000906266,0.0003,0.0004,0.0001
1,3,-779.5595520188529,adversary_0,-779.5595520188529,0.0008,0.0002,0.0001
1,3,-779.5595520188529,agent_0,134.55680151965822,0.0008,0.0002,0.0001
1,3,-779.5595520188529,agent_1,134.55680151965822,0.0008,0.0002,0.0001
2,3,-191.67736459133098,adversary_0,-191.67736459133098,0.0004,0.0003,0.0001
2,3,-191.67736459133098,agent_0,-520.9898503792497,0.0004,0.0003,0.0001
2,3,-191.67736459133098,agent_1,-520.9898503792497,0.0004,0.0003,0.0001
3,3,-602.724923755116,adversary_0,-602.724923755116,0.0008,0.0002,0.0001
3,3,-602.724923755116,agent_0,468.52277889525186,0.0008,0.0002,0.0001
3,3,-602.724923755116,agent_1,468.52277889525186,0.0008,0.0002,0.0001
4,3,-254.91946375554997,adversary_0,-254.91946375554997,0.0004,0.0001,0.0001
4,3,-254.91946375554997,agent_0,170.6228646038085,0.0004,0.0001,0.0001
4,3,-254.91946375554997,agent_1,170.6228646038085,0.0004,0.0001,0.0001
5,3,-181.57066723167827,adversary_0,-181.57066723167827,0.0005,0.0007,0.0001
5,3,-181.57066723167827,agent_0,16.920809561279707,0.0005,0.0007,0.0001
5,3,-181.57066723167827,agent_1,16.920809561279707,0.0005,0.0007,0.0001
6,3,-155.637033058463,adversary_0,-155.637033058463,0.0006,0.0002,0.0001
6,3,-155.637033058463,agent_0,-62.03598971438022,0.0006,0.0002,0.0001
6,3,-155.637033058463,agent_1,-62.03598971438022,0.0006,0.0002,0.0001
7,3,-223.48679074080263,adversary_0,-223.48679074080263,0.0007,0.0009,0.0001
7,3,-223.48679074080263,agent_0,103.17282138541998,0.0007,0.0009,0.0001
7,3,-223.48679074080263,agent_1,103.17282138541998,0.0007,0.0009,0.0001
8,3,-195.70410381765427,adversary_0,-195.70410381765427,0.0001,0.0005,0.0001
8,3,-195.70410381765427,agent_0,45.62934664846081,0.0001,0.0005,0.0001
8,3,-195.70410381765427,agent_1,45.62934664846081,0.0001,0.0005,0.0001
9,3,-405.36133292587743,adversary_0,-405.36133292587743,0.0002,0.0007,0.0001
9,3,-405.36133292587743,agent_0,289.63529637175657,0.0002,0.0007,0.0001
9,3,-405.36133292587743,agent_1,289.63529637175657,0.0002,0.0007,0.0001
10,3,-47.715723575344114,adversary_0,-47.715723575344114,0.0002,0.0002,0.0001
10,3,-47.715723575344114,agent_0,-65.00486445513963,0.0002,0.0002,0.0001
10,3,-47.715723575344114,agent_1,-65.00486445513963,0.0002,0.0002,0.0001
11,3,-708.7928601880935,adversary_0,-708.7928601880935,0.0007,0.0004,0.0001
11,3,-708.7928601880935,agent_0,316.51712028524906,0.0007,0.0004,0.0001
11,3,-708.7928601880935,agent_1,316.51712028524906,0.0007,0.0004,0.0001
12,3,-340.0162750942941,adversary_0,-340.0162750942941,0.0004,0.0004,0.0001
12,3,-340.0162750942941,agent_0,36.49789613902404,0.0004,0.0004,0.0001
12,3,-340.0162750942941,agent_1,36.49789613902404,0.0004,0.0004,0.0001
13,3,-78.85288314189981,adversary_0,-78.85288314189981,0.0,0.0002,0.0001
13,3,-78.85288314189981,agent_0,9.040347052795859,0.0,0.0002,0.0001
13,3,-78.85288314189981,agent_1,9.040347052795859,0.0,0.0002,0.0001
14,3,-167.1839331212438,adversary_0,-167.1839331212438,0.0005,0.0009,0.0001
14,3,-167.1839331212438,agent_0,-52.071927567807094,0.0005,0.0009,0.0001
14,3,-167.1839331212438,agent_1,-52.071927567807094,0.0005,0.0009,0.0001
15,3,-111.63737184439533,adversary_0,-111.63737184439533,0.0005,0.0002,0.0001
15,3,-111.63737184439533,agent_0,-277.6701874212974,0.0005,0.0002,0.0001
15,3,-111.63737184439533,agent_1,-277.6701874212974,0.0005,0.0002,0.0001
0,4,-905.9122516863413,adversary_0,-905.9122516863413,0.0003,0.0004,0.0001
