Agent ID,Episode Number,Episode Score,Actor Learning Rate,Critic Learning Rate,Discount Factor,Unroll Length
1,1,-127.15155969504735,0.00279999990016222,0.000699999975040555,0.99,193
2,1,-230.42880635944684,0.0020000000949949026,0.0003000000142492354,0.99,405
3,1,-88.4129286001069,0.003100000089034438,0.0013000000035390258,0.99,500
4,1,-149.40443804097268,0.00419999985024333,0.00039999998989515007,0.99,109
5,1,-234.9414944910862,0.003100000089034438,0.000699999975040555,0.99,103
6,1,-252.591399497799,0.0031999999191612005,0.002400000113993883,0.99,156
7,1,-378.23700701844064,0.00019999999494757503,0.004699999932199717,0.99,149
8,1,-107.26419174961971,0.002199999988079071,0.003800000064074993,0.99,483
9,1,-111.22246427023545,0.004999999888241291,9.999999747378752e-05,0.99,338
10,1,-117.1100091905354,0.000699999975040555,0.0038999998942017555,0.99,77
11,1,-182.8544940777382,0.0006000000284984708,0.0027000000700354576,0.99,467
12,1,-191.18446327650906,0.00019999999494757503,0.004900000058114529,0.99,434
13,1,-97.89837398372481,0.003000000026077032,0.0005000000237487257,0.99,184
14,1,-328.2472596683997,0.003800000064074993,0.0026000000070780516,0.99,95
15,1,-133.50181902507572,0.000699999975040555,0.004100000020116568,0.99,250
16,1,-204.57043217121097,0.00279999990016222,0.00139999995008111,0.99,302
1,2,-836.5660416225006,0.00279999990016222,0.000699999975040555,0.99,193
2,2,-377.15601731496486,0.0020000000949949026,0.0003000000142492354,0.99,405
3,2,-684.5682240090272,0.003100000089034438,0.0013000000035390258,0.99,500
4,2,-147.6493914708741,0.00419999985024333,0.00039999998989515007,0.99,109
5,2,-503.27304818809336,0.003100000089034438,0.000699999975040555,0.99,103
6,2,-319.7637612768247,0.0031999999191612005,0.002400000113993883,0.99,156
7,2,-91.06296777693062,0.00019999999494757503,0.004699999932199717,0.99,149
8,2,-1358.686556948642,0.002199999988079071,0.003800000064074993,0.99,483
9,2,-475.06813871236204,0.004999999888241291,9.999999747378752e-05,0.99,338
10,2,-144.43392540147084,0.000699999975040555,0.0038999998942017555,0.99,77
11,2,-177.278883276905,0.0006000000284984708,0.0027000000700354576,0.99,467
12,2,-89.14376610279075,0.00019999999494757503,0.004900000058114529,0.99,434
13,2,-432.23513334363224,0.003000000026077032,0.0005000000237487257,0.99,184
14,2,-709.8557254353976,0.003800000064074993,0.0026000000070780516,0.99,95
15,2,-220.54718155400084,0.000699999975040555,0.004100000020116568,0.99,250
16,2,-185.27608150126233,0.00279999990016222,0.00139999995008111,0.99,302
1,3,-386.8464926143309,0.00279999990016222,0.000699999975040555,0.99,193
2,3,-141.2199609258329,0.0020000000949949026,0.0003000000142492354,0.99,405
3,3,-437.28316588278545,0.003100000089034438,0.0013000000035390258,0.99,500
4,3,-730.6831367472386,0.00419999985024333,0.00039999998989515007,0.99,109
5,3,-428.3858495645835,0.003100000089034438,0.000699999975040555,0.99,103
6,3,-269.4352824282692,0.0031999999191612005,0.002400000113993883,0.99,156
7,3,-94.94644657880794,0.00019999999494757503,0.004699999932199717,0.99,149
8,3,-511.99144448706556,0.002199999988079071,0.003800000064074993,0.99,483
9,3,-546.3861090572398,0.004999999888241291,9.999999747378752e-05,0.99,338
10,3,-98.264656938373,0.000699999975040555,0.0038999998942017555,0.99,77
11,3,-115.79923413410548,0.0006000000284984708,0.0027000000700354576,0.99,467
12,3,-1.129183275137322,0.00019999999494757503,0.004900000058114529,0.99,434
13,3,-496.18053368033645,0.003000000026077032,0.0005000000237487257,0.99,184
14,3,-403.3693811308433,0.003800000064074993,0.0026000000070780516,0.99,95
15,3,-261.9579697579933,0.000699999975040555,0.004100000020116568,0.99,250
16,3,-456.8866709617548,0.00279999990016222,0.00139999995008111,0.99,302
1,4,-916.1796002617709,0.00279999990016222,0.000699999975040555,0.99,193
2,4,-160.4267780774611,0.0020000000949949026,0.0003000000142492354,0.99,405
3,4,-379.0949089320346,0.003100000089034438,0.0013000000035390258,0.99,500
4,4,-512.8488309745334,0.00419999985024333,0.00039999998989515007,0.99,109
5,4,-632.1089754686789,0.003100000089034438,0.000699999975040555,0.99,103
6,4,-416.0402627155194,0.0031999999191612005,0.002400000113993883,0.99,156
7,4,-337.86158079700704,0.00019999999494757503,0.004699999932199717,0.99,149
8,4,-364.94974738074865,0.002199999988079071,0.003800000064074993,0.99,483
9,4,-452.59453894745235,0.004999999888241291,9.999999747378752e-05,0.99,338
10,4,-677.6058211531,0.000699999975040555,0.0038999998942017555,0.99,77
11,4,-199.94077789416423,0.0006000000284984708,0.0027000000700354576,0.99,467
12,4,-506.88974222283093,0.00019999999494757503,0.004900000058114529,0.99,434
13,4,-546.9741752383052,0.003000000026077032,0.0005000000237487257,0.99,184
14,4,-608.3917008006061,0.003800000064074993,0.0026000000070780516,0.99,95
15,4,-484.5548985569202,0.000699999975040555,0.004100000020116568,0.99,250
16,4,-641.7787073392312,0.00279999990016222,0.00139999995008111,0.99,302
1,5,-798.8353326355696,0.00279999990016222,0.000699999975040555,0.99,193
2,5,-116.09231175181195,0.0020000000949949026,0.0003000000142492354,0.99,405
3,5,-661.2469694062731,0.003100000089034438,0.0013000000035390258,0.99,500
4,5,-141.2132747140111,0.00419999985024333,0.00039999998989515007,0.99,109
5,5,-2290.22398041405,0.003100000089034438,0.000699999975040555,0.99,103
6,5,-483.2146941799052,0.0031999999191612005,0.002400000113993883,0.99,156
7,5,-417.8338791391518,0.00019999999494757503,0.004699999932199717,0.99,149
8,5,-205.12920455132388,0.002199999988079071,0.003800000064074993,0.99,483
9,5,-376.4231297909224,0.004999999888241291,9.999999747378752e-05,0.99,338
10,5,-300.2577086896757,0.000699999975040555,0.0038999998942017555,0.99,77
11,5,-274.9567303117801,0.0006000000284984708,0.0027000000700354576,0.99,467
12,5,-195.807437509724,0.00019999999494757503,0.004900000058114529,0.99,434
13,5,-720.6833839186747,0.003000000026077032,0.0005000000237487257,0.99,184
14,5,-789.1399040441622,0.003800000064074993,0.0026000000070780516,0.99,95
15,5,-536.6074859538909,0.000699999975040555,0.004100000020116568,0.99,250
16,5,-605.8413864420554,0.00279999990016222,0.00139999995008111,0.99,302
1,6,-774.3514009490191,0.00279999990016222,0.000699999975040555,0.99,193
2,6,-217.2926355761814,0.0020000000949949026,0.0003000000142492354,0.99,405
3,6,-947.6585274211773,0.003100000089034438,0.0013000000035390258,0.99,500
4,6,-300.5570747782242,0.00419999985024333,0.00039999998989515007,0.99,109
7,6,-178.1549445556663,0.00019999999494757503,0.004699999932199717,0.99,149
8,6,-162.06596093257335,0.002199999988079071,0.003800000064074993,0.99,483
9,6,-446.3190474032227,0.004999999888241291,9.999999747378752e-05,0.99,338
10,6,-149.04761763462318,0.000699999975040555,0.0038999998942017555,0.99,77
11,6,-121.6186912981949,0.0006000000284984708,0.0027000000700354576,0.99,467
12,6,-165.57157377241523,0.00019999999494757503,0.004900000058114529,0.99,434
13,6,-720.8409524662655,0.003000000026077032,0.0005000000237487257,0.99,184
14,6,-821.2069120476333,0.003800000064074993,0.0026000000070780516,0.99,95
15,6,-224.66256321902722,0.000699999975040555,0.004100000020116568,0.99,250
16,6,-690.4400781690628,0.00279999990016222,0.00139999995008111,0.99,302
