Agent ID,Episode Number,Episode Score,Actor Learning Rate,Critic Learning Rate,Discount Factor,Unroll Length
1,1,-268.8131721746829,0.0020000000949949026,0.002199999988079071,0.99,399
2,1,-473.6704746439537,0.004900000058114529,0.004000000189989805,0.99,52
3,1,-300.1454041501372,0.0026000000070780516,0.004800000227987766,0.99,367
4,1,-106.66936351513658,0.000699999975040555,0.004100000020116568,0.99,436
5,1,-166.4219488186724,0.004000000189989805,0.004600000102072954,0.99,237
6,1,-149.0754374323023,0.001500000013038516,0.003599999938160181,0.99,194
7,1,-165.0112737115353,0.002300000051036477,0.0020000000949949026,0.99,36
8,1,-178.42561083737388,0.004699999932199717,0.0038999998942017555,0.99,416
9,1,-145.8930212034618,0.0015999999595806003,0.0017000000225380063,0.99,293
10,1,-360.49389005172793,0.004399999976158142,0.004900000058114529,0.99,388
11,1,-327.9468521562055,0.003800000064074993,0.0015999999595806003,0.99,21
12,1,-185.60691550473723,0.003700000001117587,0.002199999988079071,0.99,10
13,1,-472.55678711620556,0.0015999999595806003,0.003000000026077032,0.99,167
14,1,-357.8300809431356,0.004399999976158142,0.004699999932199717,0.99,479
15,1,-81.76812164286122,0.003599999938160181,0.0026000000070780516,0.99,477
16,1,-401.3253274316752,0.0007999999797903001,0.0038999998942017555,0.99,250
1,2,-589.6445493455557,0.0020000000949949026,0.002199999988079071,0.99,399
2,2,-882.7138087470438,0.004900000058114529,0.004000000189989805,0.99,52
3,2,-305.1387034816713,0.0026000000070780516,0.004800000227987766,0.99,367
4,2,-183.20765724394468,0.000699999975040555,0.004100000020116568,0.99,436
5,2,-170.90832654463753,0.004000000189989805,0.004600000102072954,0.99,237
6,2,-308.66300697413135,0.001500000013038516,0.003599999938160181,0.99,194
7,2,-477.5939209748696,0.002300000051036477,0.0020000000949949026,0.99,36
8,2,-327.70491287878514,0.004699999932199717,0.0038999998942017555,0.99,416
9,2,-120.16879392255208,0.0015999999595806003,0.0017000000225380063,0.99,293
10,2,-111.61133042014744,0.004399999976158142,0.004900000058114529,0.99,388
11,2,-288.71165302725024,0.003800000064074993,0.0015999999595806003,0.99,21
12,2,-163.5038472124925,0.003700000001117587,0.002199999988079071,0.99,10
13,2,-589.2237065550546,0.0015999999595806003,0.003000000026077032,0.99,167
14,2,-515.6842963832908,0.004399999976158142,0.004699999932199717,0.99,479
15,2,-213.6681321267326,0.003599999938160181,0.0026000000070780516,0.99,477
16,2,-218.0325148200522,0.0007999999797903001,0.0038999998942017555,0.99,250
1,3,-638.8745221257687,0.0020000000949949026,0.002199999988079071,0.99,399
2,3,-382.33038386418616,0.004900000058114529,0.004000000189989805,0.99,52
3,3,-494.19356135073764,0.0026000000070780516,0.004800000227987766,0.99,367
4,3,-555.0241533087767,0.000699999975040555,0.004100000020116568,0.99,436
5,3,-633.6280883119149,0.004000000189989805,0.004600000102072954,0.99,237
6,3,-698.9681985874687,0.001500000013038516,0.003599999938160181,0.99,194
7,3,-447.46436411234555,0.002300000051036477,0.0020000000949949026,0.99,36
8,3,-607.0348695653556,0.004699999932199717,0.0038999998942017555,0.99,416
9,3,-412.71250176513274,0.0015999999595806003,0.0017000000225380063,0.99,293
10,3,-529.6577998224155,0.004399999976158142,0.004900000058114529,0.99,388
11,3,-528.4547044627163,0.003800000064074993,0.0015999999595806003,0.99,21
12,3,-146.9683435276765,0.003700000001117587,0.002199999988079071,0.99,10
13,3,-393.23025577439677,0.0015999999595806003,0.003000000026077032,0.99,167
14,3,-734.1709997410801,0.004399999976158142,0.004699999932199717,0.99,479
15,3,-1755.2879223959726,0.003599999938160181,0.0026000000070780516,0.99,477
16,3,-198.38270062814365,0.0007999999797903001,0.0038999998942017555,0.99,250
1,4,-574.561467369326,0.0020000000949949026,0.002199999988079071,0.99,399
2,4,-72.97713053668457,0.004900000058114529,0.004000000189989805,0.99,52
3,4,-444.6497827670678,0.0026000000070780516,0.004800000227987766,0.99,367
4,4,-558.52720871816,0.000699999975040555,0.004100000020116568,0.99,436
5,4,-356.85101908321474,0.004000000189989805,0.004600000102072954,0.99,237
6,4,-489.52855436099463,0.001500000013038516,0.003599999938160181,0.99,194
7,4,-126.25106098904656,0.002300000051036477,0.0020000000949949026,0.99,36
8,4,-382.10406727413755,0.004699999932199717,0.0038999998942017555,0.99,416
9,4,-793.6273053523918,0.0015999999595806003,0.0017000000225380063,0.99,293
10,4,-4332.166746130713,0.004399999976158142,0.004900000058114529,0.99,388
11,4,-937.3356265627068,0.003800000064074993,0.0015999999595806003,0.99,21
12,4,-541.3683984622678,0.003700000001117587,0.002199999988079071,0.99,10
13,4,-749.2891747100475,0.0015999999595806003,0.003000000026077032,0.99,167
14,4,-678.8383761640695,0.004399999976158142,0.004699999932199717,0.99,479
15,4,-1415.1095143637524,0.003599999938160181,0.0026000000070780516,0.99,477
16,4,-725.7259734258123,0.0007999999797903001,0.0038999998942017555,0.99,250
1,5,-218.55908956606692,0.0020000000949949026,0.002199999988079071,0.99,399
2,5,-346.63194774602744,0.004900000058114529,0.004000000189989805,0.99,52
3,5,-804.6103377907865,0.0026000000070780516,0.004800000227987766,0.99,367
4,5,-364.69364009231583,0.000699999975040555,0.004100000020116568,0.99,436
5,5,-213.97251771601583,0.004000000189989805,0.004600000102072954,0.99,237
6,5,-418.61076823631475,0.001500000013038516,0.003599999938160181,0.99,194
7,5,-326.3313837221822,0.002300000051036477,0.0020000000949949026,0.99,36
8,5,-324.7490229008945,0.004699999932199717,0.0038999998942017555,0.99,416
9,5,-420.4138547622402,0.0015999999595806003,0.0017000000225380063,0.99,293
12,5,-806.6467217885086,0.003700000001117587,0.002199999988079071,0.99,10
13,5,-690.6425269768997,0.0015999999595806003,0.003000000026077032,0.99,167
14,5,-535.8933568038334,0.004399999976158142,0.004699999932199717,0.99,479
15,5,-755.5196076861938,0.003599999938160181,0.0026000000070780516,0.99,477
16,5,-361.4199811872362,0.0007999999797903001,0.0038999998942017555,0.99,250
10,5,-472.39383507290904,0.004000000189989805,0.004600000102072954,0.99,237
1,6,-249.29635179901598,0.0020000000949949026,0.002199999988079071,0.99,399
2,6,-207.86700249655632,0.004900000058114529,0.004000000189989805,0.99,52
3,6,-481.17992452734546,0.0026000000070780516,0.004800000227987766,0.99,367
4,6,-437.99749558476753,0.000699999975040555,0.004100000020116568,0.99,436
5,6,-647.4777381407016,0.004000000189989805,0.004600000102072954,0.99,237
6,6,-838.3816115931133,0.001500000013038516,0.003599999938160181,0.99,194
7,6,-156.42272701875817,0.002300000051036477,0.0020000000949949026,0.99,36
8,6,-583.8723757523705,0.004699999932199717,0.0038999998942017555,0.99,416
9,6,-384.707390922604,0.0015999999595806003,0.0017000000225380063,0.99,293
11,5,-463.52164125402095,0.003800000064074993,0.0015999999595806003,0.99,21
12,6,-383.3274868996024,0.003700000001117587,0.002199999988079071,0.99,10
13,6,-733.6596838497388,0.0015999999595806003,0.003000000026077032,0.99,167
14,6,-625.1428006002596,0.004399999976158142,0.004699999932199717,0.99,479
15,6,-133.19062778561002,0.003599999938160181,0.0026000000070780516,0.99,477
16,6,-237.57798594392838,0.0007999999797903001,0.0038999998942017555,0.99,250
10,6,-109.77665469566324,0.004000000189989805,0.004600000102072954,0.99,237
1,7,-510.97102456329935,0.0020000000949949026,0.002199999988079071,0.99,399
2,7,-79.95395704170309,0.004900000058114529,0.004000000189989805,0.99,52
3,7,-408.11036816257706,0.0026000000070780516,0.004800000227987766,0.99,367
4,7,-403.85117444608505,0.000699999975040555,0.004100000020116568,0.99,436
5,7,-120.98496241256403,0.004000000189989805,0.004600000102072954,0.99,237
6,7,-466.73817534087163,0.001500000013038516,0.003599999938160181,0.99,194
7,7,-162.76088343215952,0.002300000051036477,0.0020000000949949026,0.99,36
8,7,-545.4790589976388,0.004699999932199717,0.0038999998942017555,0.99,416
9,7,-577.2211989174972,0.0015999999595806003,0.0017000000225380063,0.99,293
11,6,-1125.8499456297798,0.003800000064074993,0.0015999999595806003,0.99,21
12,7,-394.37276865336287,0.003700000001117587,0.002199999988079071,0.99,10
13,7,-3196.370603584315,0.0015999999595806003,0.003000000026077032,0.99,167
14,7,-549.7169655406019,0.004399999976158142,0.004699999932199717,0.99,479
15,7,-158.91829152325693,0.003599999938160181,0.0026000000070780516,0.99,477
16,7,-1038.9485295636982,0.0007999999797903001,0.0038999998942017555,0.99,250
10,7,-170.04464192670815,0.004000000189989805,0.004600000102072954,0.99,237
1,8,-111.97795693445448,0.0020000000949949026,0.002199999988079071,0.99,399
2,8,-474.8756717318288,0.004900000058114529,0.004000000189989805,0.99,52
3,8,-389.76234177136797,0.0026000000070780516,0.004800000227987766,0.99,367
4,8,-131.9770180461662,0.000699999975040555,0.004100000020116568,0.99,436
5,8,-166.90512381424784,0.004000000189989805,0.004600000102072954,0.99,237
6,8,-351.1819257249381,0.001500000013038516,0.003599999938160181,0.99,194
7,8,-130.05152237723283,0.002300000051036477,0.0020000000949949026,0.99,36
8,8,-823.2409409102451,0.004699999932199717,0.0038999998942017555,0.99,416
9,8,-186.39985722271035,0.0015999999595806003,0.0017000000225380063,0.99,293
11,7,-430.15495179546383,0.003800000064074993,0.0015999999595806003,0.99,21
12,8,-573.7365710805218,0.003700000001117587,0.002199999988079071,0.99,10
13,8,-3633.182509492401,0.0015999999595806003,0.003000000026077032,0.99,167
14,8,-505.11401594896313,0.004399999976158142,0.004699999932199717,0.99,479
15,8,-81.45265919481253,0.003599999938160181,0.0026000000070780516,0.99,477
16,8,-692.7052413051838,0.0007999999797903001,0.0038999998942017555,0.99,250
10,8,-128.85905333802822,0.004000000189989805,0.004600000102072954,0.99,237
1,9,-199.43596710582796,0.0020000000949949026,0.002199999988079071,0.99,399
2,9,-113.3545105329465,0.004900000058114529,0.004000000189989805,0.99,52
3,9,-910.1247029497241,0.0026000000070780516,0.004800000227987766,0.99,367
4,9,-1876.0553703915266,0.000699999975040555,0.004100000020116568,0.99,436
5,9,-108.00950623612096,0.004000000189989805,0.004600000102072954,0.99,237
6,9,-570.8587285030274,0.001500000013038516,0.003599999938160181,0.99,194
7,9,-143.0271653025822,0.002300000051036477,0.0020000000949949026,0.99,36
8,9,-541.6768619899403,0.004699999932199717,0.0038999998942017555,0.99,416
9,9,-690.669682470508,0.0015999999595806003,0.0017000000225380063,0.99,293
11,8,-726.3694636496207,0.003800000064074993,0.0015999999595806003,0.99,21
12,9,-833.8016618375668,0.003700000001117587,0.002199999988079071,0.99,10
13,9,-35.575936383142306,0.0015999999595806003,0.003000000026077032,0.99,167
14,9,-140.08928579343424,0.004399999976158142,0.004699999932199717,0.99,479
15,9,-94.17976739308878,0.003599999938160181,0.0026000000070780516,0.99,477
16,9,-497.1498016594711,0.0007999999797903001,0.0038999998942017555,0.99,250
10,9,-111.45877642317043,0.004000000189989805,0.004600000102072954,0.99,237
1,10,-357.2071458299347,0.0020000000949949026,0.002199999988079071,0.99,399
2,10,-294.74004151199915,0.004900000058114529,0.004000000189989805,0.99,52
3,10,-579.9185202470288,0.0026000000070780516,0.004800000227987766,0.99,367
4,10,-284.5262416298062,0.000699999975040555,0.004100000020116568,0.99,436
5,10,-135.23571863634,0.004000000189989805,0.004600000102072954,0.99,237
6,10,-423.9546589223098,0.001500000013038516,0.003599999938160181,0.99,194
7,10,-208.919346053824,0.002300000051036477,0.0020000000949949026,0.99,36
8,10,-448.8341029826146,0.004699999932199717,0.0038999998942017555,0.99,416
9,10,-458.09071233878115,0.0015999999595806003,0.0017000000225380063,0.99,293
11,9,-1065.0037308094463,0.003800000064074993,0.0015999999595806003,0.99,21
12,10,-551.841397522833,0.003700000001117587,0.002199999988079071,0.99,10
13,10,-336.23680383647627,0.0015999999595806003,0.003000000026077032,0.99,167
14,10,-278.3850362925416,0.004399999976158142,0.004699999932199717,0.99,479
15,10,-120.70041307220663,0.003599999938160181,0.0026000000070780516,0.99,477
16,10,-399.73890728016477,0.0007999999797903001,0.0038999998942017555,0.99,250
10,10,-152.75753250434929,0.004000000189989805,0.004600000102072954,0.99,237
1,11,-217.04157833038118,0.0020000000949949026,0.002199999988079071,0.99,399
2,11,-323.569388288815,0.004900000058114529,0.004000000189989805,0.99,52
3,11,-398.80938039387524,0.0026000000070780516,0.004800000227987766,0.99,367
4,11,-177.88041453467434,0.000699999975040555,0.004100000020116568,0.99,436
5,11,-151.66592571659297,0.004000000189989805,0.004600000102072954,0.99,237
6,11,-1110.1726853720875,0.001500000013038516,0.003599999938160181,0.99,194
7,11,-74.46596237573677,0.002300000051036477,0.0020000000949949026,0.99,36
8,11,-615.3285393755187,0.004699999932199717,0.0038999998942017555,0.99,416
9,11,-718.7169599613135,0.0015999999595806003,0.0017000000225380063,0.99,293
11,10,-1399.1542259722867,0.003800000064074993,0.0015999999595806003,0.99,21
12,11,-682.5564040860409,0.003700000001117587,0.002199999988079071,0.99,10
13,11,-244.58380093422494,0.0015999999595806003,0.003000000026077032,0.99,167
14,11,-345.472473904823,0.004399999976158142,0.004699999932199717,0.99,479
15,11,-241.14050221914425,0.003599999938160181,0.0026000000070780516,0.99,477
16,11,-1038.5311551762497,0.0007999999797903001,0.0038999998942017555,0.99,250
10,11,-120.0181305633819,0.004000000189989805,0.004600000102072954,0.99,237
1,12,-193.83853230965076,0.0020000000949949026,0.002199999988079071,0.99,399
2,12,-242.64003390934855,0.004900000058114529,0.004000000189989805,0.99,52
3,12,-757.9974588490599,0.0026000000070780516,0.004800000227987766,0.99,367
4,12,-316.0354960546532,0.000699999975040555,0.004100000020116568,0.99,436
5,12,-380.3782188925002,0.004000000189989805,0.004600000102072954,0.99,237
6,12,-497.5548473430457,0.001500000013038516,0.003599999938160181,0.99,194
7,12,-267.80001801683886,0.002300000051036477,0.0020000000949949026,0.99,36
8,12,-849.1117026621772,0.004699999932199717,0.0038999998942017555,0.99,416
9,12,-783.4356442424757,0.0015999999595806003,0.0017000000225380063,0.99,293
11,11,-649.697473288096,0.003800000064074993,0.0015999999595806003,0.99,21
12,12,-822.6042637645527,0.003700000001117587,0.002199999988079071,0.99,10
13,12,-103.62164026497253,0.0015999999595806003,0.003000000026077032,0.99,167
14,12,-448.4940316967778,0.004399999976158142,0.004699999932199717,0.99,479
15,12,-141.72784363215996,0.003599999938160181,0.0026000000070780516,0.99,477
16,12,-554.150845989428,0.0007999999797903001,0.0038999998942017555,0.99,250
10,12,-100.5567771145696,0.004000000189989805,0.004600000102072954,0.99,237
1,13,-410.5719315807629,0.0020000000949949026,0.002199999988079071,0.99,399
2,13,-471.9730225138488,0.004900000058114529,0.004000000189989805,0.99,52
3,13,-496.17007328737486,0.0026000000070780516,0.004800000227987766,0.99,367
4,13,-332.39090407615817,0.000699999975040555,0.004100000020116568,0.99,436
5,13,-149.62876084023225,0.004000000189989805,0.004600000102072954,0.99,237
6,13,-372.2538321003011,0.001500000013038516,0.003599999938160181,0.99,194
7,13,-148.95019995790716,0.002300000051036477,0.0020000000949949026,0.99,36
8,13,-933.0341594540699,0.004699999932199717,0.0038999998942017555,0.99,416
9,13,-727.4621762968552,0.0015999999595806003,0.0017000000225380063,0.99,293
11,12,-700.7457460785138,0.003800000064074993,0.0015999999595806003,0.99,21
12,13,-621.9087342659369,0.003700000001117587,0.002199999988079071,0.99,10
13,13,-73.13571882541534,0.0015999999595806003,0.003000000026077032,0.99,167
14,13,-304.7478537054409,0.004399999976158142,0.004699999932199717,0.99,479
15,13,-144.25305113638504,0.003599999938160181,0.0026000000070780516,0.99,477
16,13,-455.3983041594505,0.0007999999797903001,0.0038999998942017555,0.99,250
10,13,-128.36489907517165,0.004000000189989805,0.004600000102072954,0.99,237
1,14,-412.51114337727057,0.0020000000949949026,0.002199999988079071,0.99,399
2,14,-13.936135665889296,0.004900000058114529,0.004000000189989805,0.99,52
3,14,-546.8107542099119,0.0026000000070780516,0.004800000227987766,0.99,367
