Agent ID,Episode Number,Episode Score,Actor Learning Rate,Critic Learning Rate,Discount Factor,Unroll Length
1,1,-99.97104405048147,0.0026000000070780516,0.002899999963119626,0.99,201
2,1,-230.00410162728457,0.002400000113993883,0.004699999932199717,0.99,460
3,1,-268.66135117598697,0.0044999998062849045,0.0024999999441206455,0.99,262
4,1,-81.52835272568055,0.0026000000070780516,0.004900000058114529,0.99,213
5,1,-200.89255188462886,0.0020000000949949026,0.0017999999690800905,0.99,257
6,1,-448.3539408285053,0.0017000000225380063,0.0008999999845400453,0.99,431
7,1,-170.15498561171506,0.0015999999595806003,0.0038999998942017555,0.99,106
8,1,-110.03307412995025,0.0003000000142492354,0.002099999925121665,0.99,461
9,1,-111.17423492472966,0.0027000000700354576,0.004600000102072954,0.99,161
10,1,-298.56987207417467,0.004100000020116568,0.00279999990016222,0.99,120
11,1,-135.95728392849762,0.002400000113993883,0.004999999888241291,0.99,270
12,1,-215.2508635483648,0.000699999975040555,0.0027000000700354576,0.99,215
13,1,-283.92269761626176,0.0024999999441206455,0.003100000089034438,0.99,420
14,1,-202.55035098833773,0.0034000000450760126,0.0003000000142492354,0.99,43
15,1,-183.96488558604358,0.004699999932199717,0.004600000102072954,0.99,420
16,1,-339.05841628648307,0.002099999925121665,0.0034000000450760126,0.99,295
1,2,-363.9756546661022,0.0026000000070780516,0.002899999963119626,0.99,201
2,2,-285.4783292472435,0.002400000113993883,0.004699999932199717,0.99,460
3,2,-268.30026830100894,0.0044999998062849045,0.0024999999441206455,0.99,262
4,2,-576.6978690407891,0.0026000000070780516,0.004900000058114529,0.99,213
5,2,-295.6142722564811,0.0020000000949949026,0.0017999999690800905,0.99,257
6,2,-370.99030916220795,0.0017000000225380063,0.0008999999845400453,0.99,431
7,2,-742.996711230039,0.0015999999595806003,0.0038999998942017555,0.99,106
8,2,-196.8076105197834,0.0003000000142492354,0.002099999925121665,0.99,461
9,2,-427.27531079119484,0.0027000000700354576,0.004600000102072954,0.99,161
10,2,-295.2356490118028,0.004100000020116568,0.00279999990016222,0.99,120
11,2,-440.42213753253714,0.002400000113993883,0.004999999888241291,0.99,270
12,2,-66.00707478127238,0.000699999975040555,0.0027000000700354576,0.99,215
13,2,-749.7310631836093,0.0024999999441206455,0.003100000089034438,0.99,420
14,2,-900.1417584470852,0.0034000000450760126,0.0003000000142492354,0.99,43
15,2,-664.6106697100687,0.004699999932199717,0.004600000102072954,0.99,420
16,2,-415.12954408287845,0.002099999925121665,0.0034000000450760126,0.99,295
1,3,-136.750361913576,0.0026000000070780516,0.002899999963119626,0.99,201
2,3,-786.3006381892322,0.002400000113993883,0.004699999932199717,0.99,460
3,3,-517.6759894822641,0.0044999998062849045,0.0024999999441206455,0.99,262
4,3,-21.575164808073765,0.0026000000070780516,0.004900000058114529,0.99,213
5,3,-284.3058588729252,0.0020000000949949026,0.0017999999690800905,0.99,257
6,3,-372.1238239460214,0.0017000000225380063,0.0008999999845400453,0.99,431
7,3,-284.9941714237492,0.0015999999595806003,0.0038999998942017555,0.99,106
8,3,-210.78704022703374,0.0003000000142492354,0.002099999925121665,0.99,461
9,3,-316.6002734244927,0.0027000000700354576,0.004600000102072954,0.99,161
10,3,-682.9245603811543,0.004100000020116568,0.00279999990016222,0.99,120
11,3,-862.8033637097074,0.002400000113993883,0.004999999888241291,0.99,270
12,3,-459.44206790612077,0.000699999975040555,0.0027000000700354576,0.99,215
13,3,-132.6861521927556,0.0024999999441206455,0.003100000089034438,0.99,420
