Agent ID,Episode Number,Episode Score,Actor Learning Rate,Critic Learning Rate
1,1,-177.83881990660825,9.999999747378752e-05,9.999999747378752e-05
1,2,-228.94826606003755,9.999999747378752e-05,9.999999747378752e-05
1,3,-312.66419869109444,9.999999747378752e-05,9.999999747378752e-05
1,4,-129.05297120631292,9.999999747378752e-05,9.999999747378752e-05
1,5,-149.44350727069747,9.999999747378752e-05,9.999999747378752e-05
1,6,-88.80245889537271,9.999999747378752e-05,9.999999747378752e-05
1,7,-171.4073750769814,9.999999747378752e-05,9.999999747378752e-05
1,8,-114.86104193892855,9.999999747378752e-05,9.999999747378752e-05
1,9,-74.33282459572177,9.999999747378752e-05,9.999999747378752e-05
1,10,-215.27751316555543,9.999999747378752e-05,9.999999747378752e-05
1,11,-342.38553170410273,9.999999747378752e-05,9.999999747378752e-05
1,12,-246.88860055053,9.999999747378752e-05,9.999999747378752e-05
1,13,-156.46830070653618,9.999999747378752e-05,9.999999747378752e-05
1,14,-278.6482825468279,9.999999747378752e-05,9.999999747378752e-05
1,15,-60.88707748324809,9.999999747378752e-05,9.999999747378752e-05
1,16,-298.8345744401407,9.999999747378752e-05,9.999999747378752e-05
1,17,-230.79246900703737,9.999999747378752e-05,9.999999747378752e-05
1,18,-153.3240697960006,9.999999747378752e-05,9.999999747378752e-05
1,19,-254.21318559806755,9.999999747378752e-05,9.999999747378752e-05
1,20,-178.44688764651585,9.999999747378752e-05,9.999999747378752e-05
1,21,-124.49499069016267,9.999999747378752e-05,9.999999747378752e-05
1,22,-20.039590862853785,9.999999747378752e-05,9.999999747378752e-05
1,23,-210.38934019867833,9.999999747378752e-05,9.999999747378752e-05
1,24,-157.27847871372552,9.999999747378752e-05,9.999999747378752e-05
1,25,-101.37952828477155,9.999999747378752e-05,9.999999747378752e-05
1,26,-43.15542037655723,9.999999747378752e-05,9.999999747378752e-05
1,27,-367.8915075070635,9.999999747378752e-05,9.999999747378752e-05
1,28,-297.2932061413862,9.999999747378752e-05,9.999999747378752e-05
1,29,-108.8234811393336,9.999999747378752e-05,9.999999747378752e-05
1,30,-215.35265042758874,9.999999747378752e-05,9.999999747378752e-05
1,31,-113.3188517235493,9.999999747378752e-05,9.999999747378752e-05
1,32,-104.36776550446893,9.999999747378752e-05,9.999999747378752e-05
1,33,-400.8611148282661,9.999999747378752e-05,9.999999747378752e-05
1,34,-173.00349755724477,9.999999747378752e-05,9.999999747378752e-05
1,35,-190.48834897186475,9.999999747378752e-05,9.999999747378752e-05
1,36,-430.77966184815887,9.999999747378752e-05,9.999999747378752e-05
1,37,-313.5457528150601,9.999999747378752e-05,9.999999747378752e-05
1,38,-302.3370728134504,9.999999747378752e-05,9.999999747378752e-05
1,39,-203.4135775349288,9.999999747378752e-05,9.999999747378752e-05
1,40,-71.84811555498877,9.999999747378752e-05,9.999999747378752e-05
1,41,-441.09125773268005,9.999999747378752e-05,9.999999747378752e-05
1,42,-282.04049928551416,9.999999747378752e-05,9.999999747378752e-05
1,43,-278.2145338413787,9.999999747378752e-05,9.999999747378752e-05
1,44,-111.31151373633588,9.999999747378752e-05,9.999999747378752e-05
1,45,-101.27244244832308,9.999999747378752e-05,9.999999747378752e-05
1,46,-343.9949636872917,9.999999747378752e-05,9.999999747378752e-05
1,47,-382.37187017988356,9.999999747378752e-05,9.999999747378752e-05
1,48,-59.12016123758734,9.999999747378752e-05,9.999999747378752e-05
1,49,-334.3901602085242,9.999999747378752e-05,9.999999747378752e-05
1,50,-143.700363035897,9.999999747378752e-05,9.999999747378752e-05
1,51,-126.39962642386773,9.999999747378752e-05,9.999999747378752e-05
1,52,-62.788427218199004,9.999999747378752e-05,9.999999747378752e-05
1,53,-11.171216752259085,9.999999747378752e-05,9.999999747378752e-05
